pincode,city,state,district,lat,lon
110001,New Delhi,DL,New Delhi,28.6225833,77.2127222
110002,New Delhi,DL,Central,28.6317778,77.24025
110003,New Delhi,DL,South,28.5896111,77.2191944
110004,New Delhi,DL,New Delhi,28.6210833,77.1961389
110005,New Delhi,DL,Central,28.6500278,77.1938333
110006,New Delhi,DL,Central,28.635313,77.224955
110007,New Delhi,DL,North,28.667454,77.191701
110008,New Delhi,DL,West,28.64525,77.1656667
110009,North,DL,North,28.7108611,77.2158333
110010,New Delhi,DL,New Delhi,28.57,77.13
110011,New Delhi,DL,New Delhi,28.6111111,77.21275
110012,New Delhi,DL,West,28.6320278,77.1484167
110013,New Delhi,DL,South East,28.5912222,77.2423333
110014,New Delhi,DL,South,28.58,77.26
110015,New Delhi,DL,West,28.6498611,77.1306667
110016,New Delhi,DL,South,28.5373056,77.1907222
110017,New Delhi,DL,South,28.528842,77.222557
110018,New Delhi,DL,West,24.867183,67.273615
110019,New Delhi,DL,South East,28.5431667,77.2576667
110020,New Delhi,DL,South,28.52,77.29
110021,New Delhi,DL,New Delhi,28.5829722,77.1615
110022,New Delhi,DL,New Delhi,28.5701944,77.1713056
110023,New Delhi,DL,New Delhi,28.5758333,77.1993611
110024,New Delhi,DL,South East,28.5631667,77.24875
110025,New Delhi,DL,South East,28.5671667,77.2787778
110026,New Delhi,DL,West,28.6198611,77.0975833
110027,New Delhi,DL,West,28.640446,77.104918
110028,New Delhi,DL,New Delhi,28.6305,77.1349167
110029,New Delhi,DL,South,28.6330278,77.1366389
110030,New Delhi,DL,South,28.5176111,77.1793611
110031,New Delhi,DL,Shahdara,28.6921111,77.3042222
110032,New Delhi,DL,Shahdara,28.6754167,77.2903611
110033,New Delhi,DL,North,28.72775,77.1636111
110034,New Delhi,DL,North West,28.68875,77.1321111
110035,New Delhi,DL,North West,28.6921111,77.1578611
110036,New Delhi,DL,North,28.7978055,77.13
110037,New Delhi,DL,New Delhi,28.54,77.12
110038,New Delhi,DL,New Delhi,28.52,77.09
110039,New Delhi,DL,North,28.7996944,77.0380555
110040,New Delhi,DL,North West,28.8508055,77.0880555
110041,New Delhi,DL,West,28.682314,77.034937
110042,New Delhi,DL,North,28.72775,77.1636111
110043,New Delhi,DL,South West,28.520905,76.964011
110044,New Delhi,DL,South,28.5,77.3
110045,New Delhi,DL,South West,28.609675,77.089542
110046,New Delhi,DL,New Delhi,28.6110556,77.1088056
110047,New Delhi,DL,South,28.4797777,77.1179444
110048,New Delhi,DL,South East,28.5471667,77.2438056
110049,New Delhi,DL,South,28.55,77.21
110051,New Delhi,DL,Shahdara,28.6457222,77.2998056
110052,New Delhi,DL,North,28.6933611,77.1713889
110053,New Delhi,DL,North East,28.38,77.12
110054,New Delhi,DL,Central,28.7060278,77.2217778
110055,New Delhi,DL,Central,28.6401667,77.2129167
110056,New Delhi,DL,North West,28.6827222,77.1111111
110057,New Delhi,DL,New Delhi,28.568,77.1594167
110058,New Delhi,DL,West,28.6115,77.0970833
110059,New Delhi,DL,West,28.609409,77.054325
110060,New Delhi,DL,Central,28.6367222,77.1831111
110061,New Delhi,DL,New Delhi,28.54,77.05
110062,New Delhi,DL,South,77.23,28.51
110063,New Delhi,DL,West,28.668712,77.102909
110064,New Delhi,DL,West,28.6317778,77.1259167
110065,New Delhi,DL,South East,28.5593611,77.2568056
110066,New Delhi,DL,New Delhi,28.5653056,77.17975
110067,New Delhi,DL,New Delhi,28.55075,77.1792778
110068,South,DL,South,28.5012222,77.2003055
110069,New Delhi,DL,New Delhi,28.6225833,77.2127222
110070,New Delhi,DL,New Delhi,28.52,77.15
110071,New Delhi,DL,South West,28.529595,76.986468
110072,New Delhi,DL,South West,28.652588,76.956454
110073,New Delhi,DL,South West,28.609773,76.893434
110074,South,DL,South,28.50842,77.20918
110075,New Delhi,DL,South West,28.578231,77.04961
110076,South,DL,South,28.53,77.3
110077,South West,DL,South West,28.564173,77.041334
110078,South West,DL,South West,28.598435,77.022021
110080,South,DL,South,28.5,77.23
110081,New Delhi,DL,North West,28.7349166,77.0055555
110082,New Delhi,DL,North,77.119,28.7721666
110083,New Delhi,DL,North West,28.6938611,77.0936111
110084,New Delhi,DL,North,28.7572222,77.1977777
110085,New Delhi,DL,North West,28.6933611,77.1713889
110086,North West,DL,North West,28.7016111,77.0797222
110087,West,DL,West,28.679745,77.092689
110088,North,DL,North,28.6933611,77.1713889
110089,North West,DL,North West,28.7348056,77.1325
110090,North East,DL,North East,28.69225,77.3042222
110091,New Delhi,DL,East,28.69225,77.3042222
110092,New Delhi,DL,East,28.6336389,77.3111944
110093,New Delhi,DL,North East,28.702185,77.30501
110094,New Delhi,DL,North East,28.69225,77.3042222
110095,Shahdara,DL,Shahdara,28.68254,77.31315
110096,New Delhi,DL,East,28.61777,77.32961
110097,South West,DL,South West,28.5249456,77.0710038
110099,North West,DL,North West,28.720596,77.080909
110110,North West,DL,North West,28.7158,77.11
121001,Faridabad,HR,Faridabad,28.2490556,77.7498333
121002,Faridabad,HR,Faridabad,28.405301,77.374447
121003,Faridabad,HR,Faridabad,77.264444,28.4625
121004,Faridabad,HR,Palwal,28.252452,77.277837
121005,Faridabad,HR,Faridabad,28.3917778,77.3021389
121006,Faridabad,HR,Faridabad,28.3574444,77.3336389
121007,Faridabad,HR,Faridabad,28.3832778,77.3258889
121008,Faridabad,HR,Faridabad,28.3917778,77.3021389
121009,Faridabad,HR,Faridabad,28.4881111,77.2945833
121010,Faridabad,HR,Faridabad,28.5821389,77.9790278
121012,Faridabad,HR,Faridabad,28.3917778,77.3021389
121013,Faridabad,HR,Faridabad,28.3917778,77.3021389
121014,Faridabad,HR,Faridabad,28.4726,77.4848
121015,Faridabad,HR,Faridabad,28.3453,77.2965
121101,Faridabad,HR,Faridabad,28.514051,77.337891
121102,Faridabad,HR,Palwal,23.829523,75.300401
121103,Hathin,HR,Palwal,27.982955,77.188775
121105,Faridabad,HR,Palwal,28.1487362,77.3320262
121106,Faridabad,HR,Palwal,27.917877,77.323827
121107,Hassanpur,HR,Palwal,27.896309,77.448684
122001,Gurgaon,HR,Gurugram,28.462,77.0316389
122002,Gurugram,HR,Gurugram,28.466093,77.1058349
122003,Gurugram,HR,Gurugram,28.4465007,77.073616
122004,Gurugram,HR,Gurugram,28.413887,76.9931945
122005,Gurgaon,HR,Gurugram,28.5056111,77.0710556
122006,Gurugram,HR,Gurugram,28.4855613,77.009056
122007,Gurugram,HR,Gurugram,28.462,77.0316389
122008,Gurugram,HR,Gurugram,28.462,77.0316389
122009,Gurugram,HR,Gurugram,28.3408889,76.7561944
122010,Gurugram,HR,Gurugram,28.466093,77.1058349
122011,Gurugram,HR,Gurugram,28.462,77.0316389
122012,Gurugram,HR,Gurugram,28.413887,76.9931945
122015,Gurgaon,HR,Gurugram,28.4973611,77.0630556
122016,Gurgaon,HR,Gurugram,28.4965833,77.0852778
122017,Gurugram,HR,Gurugram,28.5072345,77.0315475
122018,Gurugram,HR,Gurugram,28.462,77.0316389
122051,Gurugram,HR,Gurugram,28.344247,76.943839
122052,Gurugram,HR,Gurugram,28.342,76.9364722
122098,Gurugram,HR,Gurugram,28.3913822,77.0511932
122101,Gurgaon,HR,Gurugram,28.3913822,77.0511932
122102,Gurgaon,HR,Gurugram,28.352169,77.06471
122103,Sohna,HR,Gurugram,28.248459,77.065802
122104,Ferozepur Jhirka,HR,Nuh,27.787343,76.946463
122105,Gurgaon,HR,Nuh,28.21313,76.954679
122107,Nuh,HR,Nuh,28.095943,77.001664
122108,Gurgaon,HR,Nuh,27.9204,76.984468
122413,Gurugram,HR,Gurugram,29.387631,77.446429
122414,Gurugram,HR,Gurugram,28.271733,76.740867
122502,Rewari,HR,Rewari,28.292981,76.697254
122503,Gurugram,HR,Gurugram,28.325728,76.777811
122504,Gurugram,HR,Gurugram,28.467015,77.081198
122505,Gurugram,HR,Gurugram,28.421592,76.914258
122506,Gurugram,HR,Gurugram,28.446796,76.825692
122508,Nuh,HR,Nuh,27.824681,77.177104
123001,Narnaul,HR,Mahendragarh,28.044064,76.118082
123021,Narnaul,HR,Mahendragarh,28.100932,76.253154
